,id,sex,birthday,age,agegrp,acquire_kkh,acquire_kkh2,loss_kkh,loss_kkh2,vis_prob,vis_prob2,react_prob,priority,past1,past2,past3,past4,past5,qty,receipt,segment,rm
2,46010,male,1950/3/19,69,65-69,2009/4/1,2009,,,0.92967309,0.9-0.9400000000000001,0.06544585,3.0,1.0,1.0,1.0,1.0,0.0,4.0,2,D,0
3,1970,male,1952/9/27,66,65-69,2012/9/29,2012,,,0.929308205,0.9-0.9400000000000001,0.065473892,4.0,1.0,1.0,1.0,1.0,0.0,4.0,2,A,0
5,37619,female,1955/2/12,64,60-64,2014/12/22,2014,,,0.912276014,0.9-0.9400000000000001,0.07402402,7.0,1.0,1.0,1.0,0.0,0.0,3.0,2,D,0
6,25004,male,1955/2/12,64,60-64,2012/2/28,2012,,,0.911335222,0.9-0.9400000000000001,0.074098707,8.0,1.0,1.0,1.0,0.0,0.0,3.0,2,A,0
7,15348,male,1949/5/17,69,65-69,2005/2/24,2005,,,0.910055866,0.9-0.9400000000000001,0.074200289,9.0,1.0,1.0,1.0,0.0,0.0,3.0,0,B,0
9,9015104,male,1953/9/13,65,60-64,2014/8/26,2014,,,0.908413164,0.9-0.9400000000000001,0.074330748,11.0,1.0,1.0,1.0,0.0,0.0,3.0,1,B,0
10,19716,female,1950/6/3,68,65-69,2008/10/1,2008,,,0.914249418,0.9-0.9400000000000001,0.066634934,12.0,1.0,1.0,1.0,1.0,0.0,4.0,2,A,0
11,19232,female,1949/5/26,69,65-69,2010/4/1,2010,,,0.914097964,0.9-0.9400000000000001,0.066646647,13.0,1.0,1.0,1.0,1.0,0.0,4.0,2,C,0
12,41732,female,1952/7/23,66,65-69,2014/4/1,2014,,,0.912348461,0.9-0.9400000000000001,0.06678200299999999,14.0,1.0,1.0,1.0,1.0,0.0,4.0,2,A,0
13,45055,male,1952/12/19,66,65-69,2014/7/16,2014,,,0.904042563,0.9-0.9400000000000001,0.074677997,15.0,1.0,1.0,1.0,0.0,0.0,3.0,2,D,0
15,19798,female,1955/2/1,64,60-64,2015/4/1,2015,,,0.902283435,0.9-0.9400000000000001,0.074817818,17.0,1.0,1.0,1.0,0.0,0.0,3.0,1,C,0
17,406463,female,1951/7/4,67,65-69,2013/4/11,2013,,,0.909380476,0.9-0.9400000000000001,0.06701184,19.0,1.0,1.0,1.0,1.0,0.0,4.0,1,A,0
18,42709,female,1953/3/16,66,65-69,2012/2/17,2012,,,0.90818783,0.9-0.9400000000000001,0.067104272,21.0,1.0,1.0,1.0,1.0,0.0,4.0,2,B,0
19,26276,female,1952/3/9,67,65-69,2014/7/1,2014,,,0.899746865,0.8500000000000001-0.8900000000000001,0.075019486,22.0,1.0,1.0,1.0,0.0,0.0,3.0,2,D,0
20,14727,male,1958/9/15,60,55-59,2013/10/1,2013,,,0.899466652,0.8500000000000001-0.8900000000000001,0.075041768,23.0,1.0,1.0,1.0,0.0,0.0,3.0,2,A,0
21,35696,female,1955/9/2,63,60-64,2011/4/12,2011,,,0.907310618,0.9-0.9400000000000001,0.067172283,24.0,1.0,1.0,1.0,1.0,0.0,4.0,2,A,0
23,342109,female,1953/1/1,66,65-69,2014/3/21,2014,,,0.906502819,0.9-0.9400000000000001,0.067234933,26.0,1.0,1.0,1.0,1.0,0.0,4.0,2,D,0
24,20998,female,1949/4/20,69,65-69,2015/1/16,2015,,,0.898254338,0.8500000000000001-0.8900000000000001,0.075138177,27.0,1.0,1.0,1.0,0.0,0.0,3.0,1,A,0
25,24476,female,1949/11/5,69,65-69,1995/8/1,1995,,,0.905494317,0.9-0.9400000000000001,0.067313175,28.0,1.0,1.0,1.0,1.0,0.0,4.0,2,A,0
26,349347,male,1958/5/10,60,55-59,1958/5/10,1958,,,0.8975770590000001,0.8500000000000001-0.8900000000000001,0.075192043,29.0,1.0,1.0,1.0,0.0,0.0,3.0,0,D,0
28,325999,male,1956/5/26,62,60-64,2005/2/24,2005,,,0.904967101,0.9-0.9400000000000001,0.06735409,31.0,1.0,1.0,1.0,1.0,0.0,4.0,0,B,0
30,8164,male,1953/8/2,65,60-64,2015/4/11,2015,,,0.895777805,0.8500000000000001-0.8900000000000001,0.075335163,33.0,1.0,1.0,1.0,0.0,0.0,3.0,2,C,0
31,6082,female,1952/1/27,67,65-69,2013/4/11,2013,,,0.903561322,0.9-0.9400000000000001,0.067463224,34.0,1.0,1.0,1.0,1.0,0.0,4.0,2,A,0
33,24893,female,1949/11/6,69,65-69,2015/4/1,2015,,,0.895455566,0.8500000000000001-0.8900000000000001,0.07536079799999999,36.0,1.0,1.0,1.0,0.0,0.0,3.0,2,C,0
35,27527,female,1953/12/3,65,60-64,2013/11/1,2013,,,0.902583588,0.9-0.9400000000000001,0.067539162,38.0,1.0,1.0,1.0,1.0,0.0,4.0,1,D,0
36,29551,male,1950/1/21,69,65-69,2007/4/1,2007,,,0.8841207259999999,0.8500000000000001-0.8900000000000001,0.085269655,39.0,1.0,1.0,1.0,0.0,1.0,4.0,0,D,0
37,26304,female,1950/1/7,69,65-69,2012/4/1,2012,,,0.8937851459999999,0.8500000000000001-0.8900000000000001,0.075493699,40.0,1.0,1.0,1.0,0.0,0.0,3.0,1,B,0
38,21367,female,1951/1/15,68,65-69,2009/2/1,2009,,,0.8835118390000001,0.8500000000000001-0.8900000000000001,0.085317541,41.0,1.0,1.0,1.0,0.0,1.0,4.0,2,B,0
39,21301,male,1951/5/19,67,65-69,2013/4/11,2013,,,0.900597622,0.9-0.9400000000000001,0.06769349,42.0,1.0,1.0,1.0,1.0,0.0,4.0,0,C,0
43,17446,male,1951/1/24,68,65-69,2008/1/1,2008,,,0.88195167,0.8500000000000001-0.8900000000000001,0.085440201,46.0,1.0,1.0,1.0,0.0,1.0,4.0,2,C,0
44,140442,female,1954/4/16,64,60-64,2014/4/1,2014,,,0.899084282,0.8500000000000001-0.8900000000000001,0.067811165,47.0,1.0,1.0,1.0,1.0,0.0,4.0,2,C,0
45,105890,male,1949/11/30,69,65-69,2011/7/12,2011,,,0.89115024,0.8500000000000001-0.8900000000000001,0.075703381,48.0,1.0,1.0,1.0,0.0,0.0,3.0,2,D,0
46,30886,female,1955/2/28,64,60-64,2014/5/16,2014,,,0.898840128,0.8500000000000001-0.8900000000000001,0.067830156,49.0,1.0,1.0,1.0,1.0,0.0,4.0,2,C,0
