,id,sex,birthday,age,agegrp,acquire_kkh,acquire_kkh2,loss_kkh,loss_kkh2,vis_prob,vis_prob2,react_prob,priority,past1,past2,past3,past4,past5,qty,receipt,segment,rm
1126,5693,male,1977/7/9,41,40-44,2002/10/29,2002,,,0.446262756,0.4-0.44,0.110901402,1200.0,1.0,0.0,0.0,0.0,0.0,1.0,2,D,0
1128,7571,female,1970/7/20,48,45-49,2014/12/28,2014,,,0.446095025,0.4-0.44,0.110893687,1202.0,1.0,0.0,0.0,0.0,0.0,1.0,0,A,0
1129,52651,male,1971/11/25,47,45-49,2002/5/23,2002,,,0.44546311,0.4-0.44,0.111252002,1203.0,1.0,0.0,0.0,1.0,1.0,3.0,1,C,0
1131,405200,female,1956/1/7,63,60-64,2010/9/25,2010,,,0.44954718,0.4-0.44,0.10605781,1205.0,0.0,1.0,1.0,1.0,1.0,4.0,0,D,0
1132,124784,female,1961/2/1,58,55-59,2017/1/1,2017,,,0.454863402,0.45-0.49,0.100473911,1206.0,1.0,0.0,0.0,0.0,1.0,2.0,0,B,0
1133,13016593,female,1976/4/18,42,40-44,2017/5/30,2017,,,0.444253551,0.4-0.44,0.110808723,1207.0,1.0,0.0,0.0,0.0,0.0,1.0,0,D,0
1134,41756,female,1950/2/24,69,65-69,2014/10/1,2014,,,0.45530137,0.45-0.49,0.098973352,1208.0,0.0,1.0,0.0,0.0,0.0,1.0,1,B,0
1136,370506,male,1969/5/21,49,45-49,2017/3/11,2017,,,0.442079333,0.4-0.44,0.110707784,1210.0,1.0,0.0,0.0,0.0,0.0,1.0,2,C,0
1138,306580,male,1954/7/13,64,60-64,1972/12/30,1972,,,0.441603398,0.4-0.44,0.110337346,1213.0,0.0,1.0,1.0,0.0,1.0,3.0,0,B,0
1140,9011622,male,1947/5/8,71,70-74,1998/8/1,1998,,,0.440139508,0.4-0.44,0.110617158,1215.0,1.0,0.0,0.0,0.0,0.0,1.0,2,C,0
1142,19709,male,1971/11/11,47,45-49,2006/4/1,2006,,,0.439690189,0.4-0.44,0.110596091,1217.0,1.0,0.0,0.0,0.0,0.0,1.0,1,C,0
1143,36377,female,1945/7/18,73,70-74,2016/9/20,2016,,,0.439670638,0.4-0.44,0.110595173,1218.0,1.0,0.0,0.0,0.0,0.0,1.0,2,C,0
1145,364397,male,1972/8/23,46,45-49,2018/2/21,2018,,,0.43824375,0.4-0.44,0.110528077,1220.0,1.0,0.0,0.0,0.0,0.0,1.0,2,C,0
1146,21062,male,1948/6/6,70,65-69,2017/4/1,2017,,,0.438036888,0.4-0.44,0.110518325,1221.0,1.0,0.0,0.0,0.0,0.0,1.0,2,D,0
